Genus	ES_Bact	ES_Bifi	ES_Esch	ES_Prev	ES_Firm
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.005113386011294327	4.962877528291425	2.014548271830981e-5	1.405048592195515e-9	0.06513041955637668
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	1.2380306765141944e-7	0.18522255581351404	8.286257593727198e-5	5.24733131382693e-16	6.083853154252185e-4
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus	1.4012578743590606e-15	0.014506812532347996	1.467222332460285e-4	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus	0	0.04339125624314197	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Fructilactobacillus	1.0350777820979794e-5	1.953928255863754e-4	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	0	0.0206409013642458	0	0.0019473110799607962	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	0	0.039676855950917245	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	0	0.001488557527877806	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	0	1.4003724838909082e-4	0.2418914126755973	0	3.324621910985261e-15
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	0	0	0.0013149306154131726	0.030106426960038048	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus	0	0.03945095521619948	0.0016642275794422658	0.018119587261958402	0.009647141283445265
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0	0.16490357793448426	5.428654387014655e-5	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	0	0.18090784103076826	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus	1.3521318033717945e-5	3.5917135124459063e-4	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Loigolactobacillus	0	0.004821391378079713	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	0	2.908359084280714e-5	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia	0	0	5.514016815064001e-5	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	7.992668098303989e-6	7.442316764306229e-5	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Granulicatella	3.6934958567414453e-6	9.263607171655436e-4	3.6823352184635366e-6	0	1.0423122802613217e-4
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	0	0	0	0.0218352527685456	0.001970652708625069
